symbol,name,market_cap
451530,TIGER 국고채30년스트립액티브,154500000000
0138Y0,PLUS 금채권혼합,153600000000
136340,RISE 중기우량회사채,152800000000
494220,UNICORN SK하이닉스밸류체인액티브,151900000000
367770,RISE 수소경제테마,151400000000
319640,TIGER 골드선물(H),148900000000
481180,SOL 미국AI소프트웨어,148200000000
411420,KODEX 미국나스닥AI테크액티브,147800000000
495550,SOL 코리아밸류업TR,147200000000
491820,HANARO 전력설비투자,146000000000
245340,TIGER 미국다우존스30,142300000000
0074K0,KoAct K수출핵심기업TOP30액티브,140900000000
0099L0,ACE 우량회사채(AA-이상)액티브,140400000000
152870,파워 200,138700000000
0151P0,RISE 코리아전략산업액티브,138600000000
457990,PLUS 태양광&ESS,138500000000
0069M0,1Q 미국나스닥100,137600000000
469170,ACE 포스코그룹포커스,136600000000
433980,KODEX TDF2040액티브 적격,136200000000
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),136100000000
309230,ACE 미국WideMoat동일가중,136100000000
464930,TIGER 글로벌혁신블루칩TOP10,135900000000
363580,KODEX 200IT TR,135900000000
114820,TIGER 국채3년,135600000000
0168K0,TIGER 기술이전바이오액티브,134500000000
490480,SOL K방산,134400000000
0151S0,KODEX 미국AI반도체TOP3플러스,133200000000
438570,SOL 국고채10년,132900000000
423170,SOL 글로벌AI반도체탑픽액티브,131700000000
130730,KIWOOM 단기자금,131400000000
0066W0,SOL 국제금,129600000000
488500,TIGER 미국S&P500동일가중,129200000000
475050,ACE KPOP포커스,128300000000
0127M0,ACE 미국대형가치주액티브,127400000000
168580,ACE 중국본토CSI300,127300000000
328370,PLUS 코스피TR,127300000000
491230,PLUS 국공채머니마켓액티브,125200000000
0131W0,1Q 단기특수은행채액티브,125000000000
0082V0,KODEX TDF2060액티브 적격,124700000000
480040,ACE 미국반도체데일리타겟커버드콜(합성),124500000000
464310,TIGER 글로벌AI&로보틱스 INDXX,124100000000
490600,RISE 미국배당100데일리고정커버드콜,124100000000
0118Z0,ACE 미국AI테크핵심산업액티브,123300000000
0132K0,PLUS 테슬라위클리커버드콜채권혼합,123300000000
465780,마이티 26-09 특수채(AAA)액티브,122500000000
278240,RISE 코스닥150선물레버리지,122300000000
0000Y0,HK 26-12 회사채(AA-이상)액티브,122100000000
0176E0,RISE 미국AI전력인프라액티브,121900000000
204480,TIGER 차이나CSI300레버리지(합성),121500000000
394660,TIGER 글로벌자율주행&전기차SOLACTIVE,121100000000
399110,SOL 미국S&P500ESG,119100000000
0085N0,ACE 미국10년국채액티브(H),118600000000
261270,KODEX 미국달러선물인버스,118600000000
454320,HANARO CAPEX설비투자iSelect,118000000000
448100,WON 200,116400000000
496090,KIWOOM 코리아밸류업,116200000000
304940,KODEX 미국나스닥100선물(H),116000000000
473640,HANARO 글로벌금채굴기업,115400000000
481430,RISE 국고채10년액티브,114200000000
498180,파워 종합채권(AA-이상)액티브,114200000000
495330,1Q 코리아밸류업,114000000000
0094M0,RISE 코리아밸류업위클리고정커버드콜,113500000000
337160,KODEX 200ESG,113000000000
157490,TIGER 소프트웨어,112800000000
479730,TIGER 인도빌리언컨슈머,112300000000
228810,TIGER 미디어컨텐츠,111000000000
304780,HANARO 200선물레버리지,109600000000
364960,TIGER BBIG,109400000000
211900,KODEX 코리아배당성장,109400000000
138520,TIGER 삼성그룹,108600000000
495710,BNK 26-06 특수채(AAA이상)액티브,108600000000
0135Y0,ITF 중기종합채권(AA-이상)액티브,108100000000
0036R0,RISE 미국휴머노이드로봇,107900000000
359210,KODEX 코스피TR,106300000000
401170,RISE 메타버스,106000000000
308620,KODEX 미국10년국채선물,105500000000
468380,KODEX iShares미국하이일드액티브,105300000000
0115E0,KODEX 코리아소버린AI,105200000000
461500,HANARO 종합채권(AA-이상)액티브,104500000000
0091M0,HANARO 27-06 회사채(AA-이상)액티브,104000000000
447620,SOL 미국TOP5채권혼합50,102500000000
0018C0,PLUS 고배당주위클리고정커버드콜,102100000000
471780,TIGER 코리아테크액티브,101400000000
0098N0,PLUS 자사주매입고배당주,101400000000
122090,PLUS 코스피50,100800000000
441540,HANARO Fn조선해운,100800000000
0132H0,KODEX 미국원자력SMR,99800000000
329660,KODEX TRF5050,99500000000
332940,HANARO MSCI Korea TR,99000000000
0035T0,PLUS 글로벌휴머노이드로봇액티브,98800000000
203780,TIGER 미국나스닥바이오,97600000000
0113D0,TIME 글로벌탑픽액티브,97100000000
211560,TIGER 배당성장,96800000000
195980,PLUS 신흥국MSCI(합성 H),96700000000
476850,KoAct 배당성장액티브,96200000000
143850,TIGER 미국S&P500선물(H),95700000000
108450,ACE 삼성그룹섹터가중,94700000000
0111J0,HANARO 증권고배당TOP3플러스,94500000000
453330,RISE 미국S&P500(H),94100000000
0085P0,ACE 미국10년국채액티브,94000000000
494330,ACE 라이프자산주주가치액티브,93800000000
476030,SOL 미국나스닥100,93600000000
210780,TIGER 코스피고배당,93500000000
266420,KODEX 헬스케어,93100000000
492500,1Q 현대차그룹채권(A+이상)&국고통안,92900000000
269540,PLUS 미국S&P500(H),92800000000
326240,RISE IT플러스,90900000000
412770,TIGER 글로벌AI플랫폼액티브,89400000000
473440,ACE 11월만기자동연장회사채AA-이상액티브,88100000000
0102A0,TIGER 미국AI소프트웨어TOP4Plus,88000000000
0052T0,1Q 중단기회사채(A-이상)액티브,87400000000
0017Y0,1Q 종합채권(AA-이상)액티브,87200000000
475300,SOL 반도체전공정,87100000000
465330,RISE 2차전지TOP10,86800000000
440910,WON 미국우주항공방산,86700000000
329670,KODEX TRF7030,86600000000
0007N0,아이엠에셋 200,86200000000
460960,ACE 글로벌인컴TOP10,85900000000
228800,TIGER 여행레저,85800000000
0100K0,KODEX 방산TOP10레버리지,85600000000
0086B0,TIGER 리츠부동산인프라TOP10액티브,85500000000
252400,RISE 200선물레버리지,85300000000
272910,ACE 중장기국공채액티브,85100000000
475310,SOL 반도체후공정,84900000000
0049M0,ACE 미국배당퀄리티+커버드콜액티브,84500000000
261220,KODEX WTI원유선물(H),84500000000
0022T0,SOL 국제금커버드콜액티브,84000000000
0089C0,KODEX 미국S&P500변동성확대시커버드콜,84000000000
433970,KODEX TDF2030액티브 적격,82900000000
486240,DAISHIN343 AI반도체&인프라액티브,82700000000
0005G0,ITF K-AI반도체코어테크,82200000000
491700,HK 200,81100000000
461460,PLUS 국고채10년액티브,81000000000
0142D0,TIGER 미국AI데이터센터TOP4Plus,80800000000
401470,KODEX 메타버스액티브,80000000000
476750,ACE 미국30년국채엔화노출액티브(H),79100000000
485690,RISE 미국AI밸류체인TOP3Plus,77200000000
494840,TIGER 미국방산TOP10,76400000000
261070,TIGER 코스닥150바이오테크,76300000000
306950,KODEX KRX300레버리지,76200000000
0041D0,KODEX 미국AI소프트웨어TOP10,75800000000
261240,KODEX 미국달러선물,75500000000
440640,ACE 단기채권알파액티브,75400000000
445150,KODEX 친환경조선해운액티브,75300000000
0021E0,ACE TDF2050액티브 적격,75100000000
475280,ACE 8월만기자동연장회사채AA-이상액티브,74100000000
456680,TIGER 차이나전기차레버리지(합성),73600000000
495040,PLUS 코리아밸류업,73200000000
453080,KIWOOM 미국나스닥100(H),72800000000
298340,PLUS 국채선물3년,72400000000
0154F0,WON 초대형IB&금융지주,72200000000
0008T0,SOL 화장품TOP3플러스,71800000000
444490,WON 미국S&P500,71500000000
463680,KODEX 미국S&P500테크놀로지,71300000000
298770,KODEX 한국대만IT프리미어,71200000000
419890,KIWOOM 단기채권ESG액티브,70500000000
150460,TIGER 중국소비테마,70300000000
475350,RISE 버크셔포트폴리오TOP10,69500000000
0000Z0,RISE 바이오TOP10액티브,69500000000
266370,KODEX IT,69400000000
292190,KODEX KRX300,68400000000
225040,TIGER 미국S&P500레버리지(합성 H),68100000000
337140,KODEX 코스피대형주,68000000000
434960,DAISHIN343 K200,66800000000
0139P0,ACE 고배당주,66300000000
0104H0,KoAct 미국나스닥채권혼합50액티브,66300000000
487750,BNK 온디바이스AI,65300000000
488720,WON 종합채권(AA-이상)액티브,65200000000
0041E0,KODEX 미국S&P500액티브,65100000000
275980,TIGER 글로벌4차산업혁신기술(합성 H),64700000000
0057H0,PLUS 미국S&P500미국채혼합50액티브,64400000000
0080X0,SOL 미국S&P500미국채혼합50,63900000000
